iter	Passed	Remaining
296	966	2288
297	968	2281
298	970	2275
299	972	2269
300	975	2264
301	977	2259
302	980	2255
303	983	2250
304	985	2245
305	987	2240
306	990	2234
307	992	2229
308	994	2224
309	996	2218
310	999	2213
311	1003	2211
312	1005	2206
313	1007	2201
314	1009	2196
315	1012	2190
316	1018	2194
317	1020	2189
318	1023	2184
319	1026	2180
320	1028	2175
321	1031	2171
322	1033	2165
323	1035	2160
324	1037	2155
325	1039	2149
326	1041	2143
327	1043	2138
328	1045	2132
329	1047	2127
330	1050	2122
331	1052	2116
332	1054	2111
333	1056	2105
334	1058	2100
335	1059	2094
336	1061	2089
337	1063	2083
338	1066	2079
339	1068	2074
340	1071	2069
341	1073	2065
342	1075	2060
343	1078	2056
344	1080	2051
345	1082	2046
346	1085	2042
347	1087	2037
348	1089	2032
349	1092	2028
350	1094	2023
351	1096	2019
352	1099	2014
353	1101	2010
354	1103	2005
355	1106	2000
356	1108	1996
357	1110	1991
358	1113	1987
359	1115	1982
360	1117	1978
361	1119	1973
362	1122	1969
363	1124	1965
364	1127	1960
365	1129	1956
366	1131	1951
367	1134	1947
368	1136	1943
369	1138	1938
370	1140	1933
371	1142	1928
372	1144	1923
373	1146	1918
374	1149	1915
375	1151	1911
376	1155	1908
377	1158	1905
378	1162	1905
379	1165	1902
380	1167	1897
381	1170	1894
382	1172	1889
383	1174	1884
384	1177	1880
385	1179	1875
386	1180	1870
387	1182	1865
388	1185	1861
389	1187	1856
390	1189	1852
391	1191	1847
392	1193	1843
393	1195	1838
394	1199	1836
395	1201	1832
396	1203	1827
397	1205	1822
398	1206	1818
399	1208	1813
400	1210	1808
401	1213	1805
402	1215	1800
403	1217	1795
404	1219	1791
405	1221	1786
406	1223	1782
407	1225	1777
408	1227	1773
409	1229	1769
410	1231	1764
411	1233	1760
412	1235	1755
413	1237	1751
414	1239	1746
415	1241	1742
416	1243	1738
417	1245	1733
418	1247	1729
419	1249	1725
420	1251	1720
421	1253	1716
422	1264	1724
423	1266	1720
424	1268	1715
425	1270	1711
426	1272	1707
427	1274	1702
428	1276	1698
429	1278	1694
430	1280	1689
431	1282	1686
432	1285	1682
433	1287	1679
434	1289	1675
435	1292	1671
436	1294	1668
