iter	Passed	Remaining
427	1751	2341
428	1759	2341
429	1761	2335
430	1763	2328
431	1766	2322
432	1768	2316
433	1774	2314
434	1777	2308
435	1779	2302
436	1782	2296
437	1784	2289
438	1790	2287
439	1792	2281
440	1795	2275
441	1797	2269
442	1800	2263
443	1805	2261
444	1808	2255
445	1810	2249
446	1814	2244
447	1819	2242
448	1822	2236
449	1824	2230
450	1827	2225
451	1830	2219
452	1836	2217
453	1838	2211
454	1841	2206
455	1850	2207
456	1854	2203
457	1856	2197
458	1859	2191
459	1865	2189
460	1868	2185
461	1872	2181
462	1875	2175
463	1881	2173
464	1883	2167
465	1886	2161
466	1889	2156
467	1894	2153
468	1897	2147
469	1899	2141
470	1901	2136
471	1904	2130
472	1914	2133
473	1917	2127
474	1919	2121
475	1922	2115
476	1924	2110
477	1927	2105
478	1930	2099
479	1932	2093
480	1937	2090
481	1940	2085
482	1943	2080
483	1945	2074
484	1952	2073
485	1955	2067
486	1957	2062
487	1959	2056
488	1962	2050
489	1968	2048
490	1970	2042
491	1972	2037
492	1975	2031
493	1977	2026
494	1983	2023
495	1986	2018
496	1988	2012
497	1991	2007
498	1993	2001
499	1999	1999
500	2001	1993
501	2004	1988
502	2006	1983
503	2009	1977
504	2012	1972
505	2014	1966
506	2017	1961
507	2019	1955
508	2021	1950
509	2024	1944
510	2027	1939
511	2029	1934
512	2041	1938
513	2045	1933
514	2048	1928
515	2050	1923
516	2052	1917
517	2055	1912
518	2057	1907
519	2061	1902
520	2066	1899
521	2069	1894
522	2071	1889
523	2074	1884
524	2076	1878
525	2082	1876
526	2084	1871
527	2087	1865
528	2089	1860
529	2092	1855
530	2097	1852
531	2100	1847
532	2102	1842
533	2105	1837
534	2108	1832
535	2113	1830
536	2116	1824
537	2119	1819
538	2121	1814
539	2123	1809
540	2129	1806
541	2132	1801
542	2134	1796
543	2143	1796
544	2145	1791
545	2147	1785
546	2150	1780
547	2152	1775
548	2158	1773
549	2161	1768
550	2163	1763
551	2166	1758
552	2170	1754
553	2172	1749
554	2175	1744
555	2177	1739
556	2180	1733
557	2185	1731
558	2188	1726
559	2190	1721
560	2193	1716
561	2195	1711
562	2201	1708
563	2203	1703
564	2206	1699
565	2209	1694
566	2211	1689
567	2217	1686
568	2220	1681
569	2222	1676
570	2227	1673
571	2233	1671
572	2236	1666
573	2238	1661
574	2240	1656
575	2243	1651
576	2250	1649
577	2252	1644
578	2255	1639
579	2257	1634
580	2263	1632
581	2265	1627
582	2268	1622
583	2270	1617
584	2273	1612
585	2278	1609
586	2281	1604
587	2283	1600
588	2286	1595
